Id;F_wh;C_wh;F_coord;C_coord
37782;190459;331551;53.137598,38.117673;47.125646068958,39.429415875834
37783;190261;331551;54.732714,37.397674;47.125646068958,39.429415875834
37784;190046;331551;52.558289,42.973822;47.125646068958,39.429415875834
37785;189848;331551;52.63205,40.25446;47.125646068958,39.429415875834
37786;189650;331551;51.842282,41.461796;47.125646068958,39.429415875834
37787;189452;331551;53.672367,41.668372;47.125646068958,39.429415875834
37788;189223;331551;54.558122,42.46967;47.125646068958,39.429415875834
37789;189008;331551;54.232506,39.023508;47.125646068958,39.429415875834
37790;188810;331551;53.579186,39.450513;47.125646068958,39.429415875834
37791;188601;331551;55.131038,40.175786;47.125646068958,39.429415875834
37792;188349;331551;52.785736,37.676619;47.125646068958,39.429415875834
37793;188151;331551;52.853653,35.189839;47.125646068958,39.429415875834
37794;187919;331551;52.056353391323,37.535015002673;47.125646068958,39.429415875834
37795;187664;331551;53.443097,36.005087;47.125646068958,39.429415875834
37796;187419;331551;52.166735,40.472221;47.125646068958,39.429415875834
37797;187221;331551;52.690887,37.964133;47.125646068958,39.429415875834
37798;187023;331551;52.043386,39.736069;47.125646068958,39.429415875834
37799;186825;331551;53.246197,39.134414;47.125646068958,39.429415875834
37800;186627;331551;51.828765,38.130519;47.125646068958,39.429415875834
37801;186428;331551;51.623126,34.346627;47.125646068958,39.429415875834
37802;186213;331551;51.01399,35.639374;47.125646068958,39.429415875834
37803;186015;331551;52.317882,36.301055;47.125646068958,39.429415875834
37804;185817;331551;51.342274,42.68611;47.125646068958,39.429415875834
37805;185619;331551;51.685205,38.325166;47.125646068958,39.429415875834
37806;185405;331551;49.702058,39.854099;47.125646068958,39.429415875834
37807;185207;331551;51.835727,40.799243;47.125646068958,39.429415875834
37808;185009;331551;50.629961,38.688095;47.125646068958,39.429415875834
37809;184811;331551;50.644591,35.552417;47.125646068958,39.429415875834
37810;184613;331551;49.929088,38.866114;47.125646068958,39.429415875834
37811;184365;331551;51.298075,37.833447;47.125646068958,39.429415875834
37812;174337;331551;45.973333,41.814663;47.125646068958,39.429415875834
37813;173929;331551;51.772468,41.953516;47.125646068958,39.429415875834
37814;173768;331551;50.290337649492,42.186750431694;47.125646068958,39.429415875834
37815;173249;331551;51.551746299864,46.293481219919;47.125646068958,39.429415875834
37816;60736;331551;50.73186284618,43.051455851806;47.125646068958,39.429415875834
37817;102729;331551;50.604914251866,43.177965270019;47.125646068958,39.429415875834
37819;158879;331551;45.580039,39.65541;47.125646068958,39.429415875834
37820;110492;331551;50.534129,40.982167;47.125646068958,39.429415875834
37821;105167;331551;49.503036419119,42.400508385055;47.125646068958,39.429415875834
